epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.7546,1.14151,2.59668,1.20634,0.92235,0.7408,0.83375,0.58898,1.13907,1.12001,1.3155,0.000666074,0.000666074,0.000666074
2,189.757,1.11564,1.16553,1.22633,0.96566,0.83234,0.91756,0.70897,0.90242,0.75667,1.16408,0.00130635,0.00130635,0.00130635
3,280.965,1.08109,1.09085,1.20184,0.93642,0.84989,0.91981,0.71112,0.89758,0.77078,1.16332,0.00192023,0.00192023,0.00192023
4,371.882,1.03492,1.01509,1.18056,0.93627,0.84672,0.92155,0.73586,0.83967,0.78388,1.14065,0.0018812,0.0018812,0.0018812
5,462.649,0.97051,0.91106,1.14228,0.96719,0.86998,0.94328,0.75926,0.79313,0.65617,1.11241,0.0018416,0.0018416,0.0018416
6,553.51,0.95079,0.92829,1.15308,0.96197,0.85563,0.93604,0.77218,0.76289,0.68689,1.1176,0.001802,0.001802,0.001802
7,645.961,0.91891,0.89401,1.13295,0.95857,0.88045,0.9377,0.75955,0.77841,0.63798,1.09177,0.0017624,0.0017624,0.0017624
8,738.43,0.84795,0.77626,1.08838,0.95336,0.88595,0.95391,0.79169,0.70207,0.57747,1.08294,0.0017228,0.0017228,0.0017228
9,830.457,0.85715,0.78524,1.09346,0.94849,0.88266,0.94815,0.79873,0.6993,0.60797,1.05658,0.0016832,0.0016832,0.0016832
10,922.661,0.83336,0.74575,1.08104,0.95202,0.90381,0.95884,0.80405,0.70021,0.55124,1.0673,0.0016436,0.0016436,0.0016436
11,1015.46,0.81333,0.72277,1.07112,0.96466,0.89323,0.96134,0.77964,0.70962,0.55401,1.07434,0.001604,0.001604,0.001604
12,1108.08,0.79599,0.73067,1.05544,0.95529,0.90355,0.96184,0.81922,0.64246,0.5251,1.0277,0.0015644,0.0015644,0.0015644
13,1200.78,0.76408,0.67793,1.04655,0.96874,0.88453,0.959,0.81675,0.6597,0.54923,1.04165,0.0015248,0.0015248,0.0015248
14,1293.23,0.76944,0.68718,1.03228,0.96774,0.88801,0.96563,0.8246,0.62422,0.54998,1.0126,0.0014852,0.0014852,0.0014852
15,1386.27,0.76314,0.67644,1.03919,0.9555,0.90169,0.95862,0.81061,0.65639,0.5308,1.03192,0.0014456,0.0014456,0.0014456
16,1479.27,0.7379,0.64577,1.02339,0.96714,0.90217,0.96027,0.81492,0.62349,0.49428,1.01627,0.001406,0.001406,0.001406
17,1571.97,0.72814,0.6291,1.0256,0.96162,0.91543,0.96611,0.82473,0.61833,0.47542,1.01757,0.0013664,0.0013664,0.0013664
18,1664.62,0.74363,0.64757,1.0368,0.9619,0.9075,0.96247,0.82491,0.62044,0.48239,1.00983,0.0013268,0.0013268,0.0013268
19,1757.14,0.71362,0.59819,1.01299,0.95991,0.91226,0.96792,0.84544,0.60607,0.46635,1.01653,0.0012872,0.0012872,0.0012872
20,1849.74,0.70028,0.61743,1.01735,0.94084,0.92461,0.96703,0.84452,0.5869,0.4553,1.00509,0.0012476,0.0012476,0.0012476
21,1942.33,0.70236,0.61179,1.0129,0.96121,0.9186,0.96452,0.83992,0.60901,0.49154,1.01443,0.001208,0.001208,0.001208
22,2035.02,0.69931,0.62157,1.00393,0.95506,0.92105,0.96731,0.85405,0.55763,0.45426,0.98987,0.0011684,0.0011684,0.0011684
23,2127.72,0.68633,0.58303,1.00124,0.95969,0.93125,0.97078,0.84712,0.60282,0.47299,1.01678,0.0011288,0.0011288,0.0011288
24,2220.16,0.68857,0.59503,1.01107,0.95105,0.9334,0.97206,0.85363,0.58156,0.44392,0.99886,0.0010892,0.0010892,0.0010892
25,2312.78,0.67287,0.56092,0.99099,0.94583,0.93023,0.97016,0.84671,0.57938,0.46234,0.99465,0.0010496,0.0010496,0.0010496
26,2405.58,0.65366,0.57627,0.97975,0.95046,0.9329,0.97291,0.84732,0.57819,0.44943,0.99109,0.00101,0.00101,0.00101
27,2498.36,0.66959,0.57319,0.9906,0.94245,0.93476,0.97191,0.85274,0.58009,0.42968,0.99769,0.0009704,0.0009704,0.0009704
28,2591.12,0.65723,0.59214,0.9919,0.96141,0.92176,0.97453,0.86514,0.55082,0.42745,0.98171,0.0009308,0.0009308,0.0009308
29,2683.91,0.64059,0.53498,0.97943,0.9512,0.92495,0.97337,0.84467,0.58007,0.43294,0.99699,0.0008912,0.0008912,0.0008912
30,2776.61,0.66605,0.55088,0.99343,0.95652,0.92495,0.97255,0.85418,0.58291,0.41808,0.99197,0.0008516,0.0008516,0.0008516
